keys,pt_BR,en,es,fr
SHOP_ALLY_MINI_MAGO,Mini Mago,Mini Mage,Mini Mago,Mini Mage
SHOP_ALLY_ARBUSTO,Pai do verde e verde,Father of green and green,Padre del verde y verde,Père du vert et vert
SHOP_ARBUSTO_DESC_1,"Ganha o Pai do Verde, que corre pelo mapa e para virando um esconderijo. Ao se esconder nele você fica invulnerável, os inimigos perdem o foco (vão atrás do mini verde, 120 HP) e você ganha +12% de velocidade de ataque e +5 de dano por flecha","Gain the Father of Green, who runs across the map and stops to become a hiding spot. Hiding in it makes you invulnerable, enemies lose focus (they chase the little green, 120 HP) and you gain +12% attack speed and +5 damage per arrow","Obtienes al Padre del Verde, que corre por el mapa y se detiene volviéndose un escondite. Al esconderte te vuelves invulnerable, los enemigos pierden el foco (van tras el mini verde, 120 HP) y ganas +12% de velocidad de ataque y +5 de daño por flecha","Obtenez le Père du Vert, qui parcourt la carte et s'arrête en devenant une cachette. En vous y cachant vous devenez invulnérable, les ennemis perdent leur cible (ils poursuivent le petit vert, 120 PV) et vous gagnez +12% de vitesse d'attaque et +5 de dégâts par flèche"
SHOP_ARBUSTO_DESC_2,O esconderijo passa a dar +20% de velocidade de ataque e +9 de dano por flecha,The hiding spot now gives +20% attack speed and +9 damage per arrow,El escondite ahora da +20% de velocidad de ataque y +9 de daño por flecha,La cachette donne désormais +20% de vitesse d'attaque et +9 de dégâts par flèche
SHOP_ARBUSTO_DESC_3,Ganha 2 minis verdes (150 HP cada) e o Pai do Verde vira esconderijo com mais frequência,Gain 2 little greens (150 HP each) and the Father of Green becomes a hiding spot more often,Obtienes 2 minis verdes (150 HP cada uno) y el Padre del Verde se vuelve escondite con más frecuencia,Obtenez 2 petits verts (150 PV chacun) et le Père du Vert devient une cachette plus souvent
SHOP_ARBUSTO_DESC_4,"O esconderijo dá +30% de velocidade de ataque, +14 de dano por flecha e cada acerto enquanto escondido te cura 5 HP","The hiding spot gives +30% attack speed, +14 damage per arrow and each hit while hidden heals you 5 HP","El escondite da +30% de velocidad de ataque, +14 de daño por flecha y cada acierto mientras estás escondido te cura 5 HP","La cachette donne +30% de vitesse d'attaque, +14 de dégâts par flèche et chaque coup porté en étant caché vous soigne de 5 PV"
SHOP_MINI_MAGO_DESC_1,"Ganha o Mini Mago, que a cada 8s invoca um macaco aliado pra lutar ao seu lado","Gain the Mini Mage, who every 8s summons an ally monkey to fight by your side","Obtienes al Mini Mago, que cada 8s invoca un mono aliado para luchar a tu lado","Obtenez le Mini Mage, qui toutes les 8s invoque un singe allié pour combattre à vos côtés"
SHOP_MINI_MAGO_DESC_2,"Invoca a cada 6s e os macacos vêm 25% mais fortes (HP, dano, velocidade de ataque e de movimento)","Summons every 6s and monkeys come 25% stronger (HP, damage, attack and movement speed)","Invoca cada 6s y los monos vienen 25% más fuertes (HP, daño, velocidad de ataque y de movimiento)","Invoque toutes les 6s et les singes arrivent 25% plus forts (PV, dégâts, vitesse d'attaque et de déplacement)"
SHOP_MINI_MAGO_DESC_3,Passa a invocar 2 macacos por vez (mantendo os bônus),Now summons 2 monkeys at a time (keeping the bonuses),Ahora invoca 2 monos a la vez (manteniendo los bonos),Invoque désormais 2 singes à la fois (en gardant les bonus)
SHOP_MINI_MAGO_DESC_4,Passa a invocar 3 macacos por vez (mantendo os bônus),Now summons 3 monkeys at a time (keeping the bonuses),Ahora invoca 3 monos a la vez (manteniendo los bonos),Invoque désormais 3 singes à la fois (en gardant les bonus)
SHOP_HP_DESC_1,+18 HP máximo,+18 max HP,+18 HP máximo,+18 PV max
SHOP_HP_DESC_2,+20 HP máximo,+20 max HP,+20 HP máximo,+20 PV max
SHOP_HP_DESC_3,+22 HP máximo,+22 max HP,+22 HP máximo,+22 PV max
SHOP_HP_DESC_4,+25 HP máximo,+25 max HP,+25 HP máximo,+25 PV max
SHOP_ARMOR_DESC_1,12% de redução do dano e slow sofrido,12% reduction of damage and slow taken,12% de reducción del daño y ralentización recibidos,12% de réduction des dégâts et ralentissement subis
SHOP_ARMOR_DESC_2,18% de redução do dano e slow sofrido,18% reduction of damage and slow taken,18% de reducción del daño y ralentización recibidos,18% de réduction des dégâts et ralentissement subis
SHOP_ARMOR_DESC_3,22% de redução do dano e slow sofrido,22% reduction of damage and slow taken,22% de reducción del daño y ralentización recibidos,22% de réduction des dégâts et ralentissement subis
SHOP_ARMOR_DESC_4,25% de redução do dano e slow sofrido,25% reduction of damage and slow taken,25% de reducción del daño y ralentización recibidos,25% de réduction des dégâts et ralentissement subis
SHOP_ARMOR_DESC_5,+3% de redução do dano e slow sofrido por compra,+3% damage and slow reduction per purchase,+3% de reducción de daño y ralentización por compra,+3% de réduction des dégâts et ralentissement par achat
SHOP_DAMAGE_DESC,+24% de dano em todas as fontes,+24% damage from all sources,+24% de daño de todas las fuentes,+24% de dégâts de toutes les sources
SHOP_PERFURACAO_DESC_1,"A cada 3 ataques, sua flecha atravessa inimigos e objetos e causa +30% de dano no 1º alvo","Every 3 attacks, your arrow pierces enemies and objects and deals +30% damage to the 1st target","Cada 3 ataques, tu flecha perfora enemigos y objetos y causa +30% de daño al 1er objetivo","Toutes les 3 attaques, votre flèche perfore ennemis et objets et inflige +30% de dégâts à la 1re cible"
SHOP_PERFURACAO_DESC_2,+60% de dano no 1º alvo e hitbox maior,+60% damage to the 1st target and bigger hitbox,+60% de daño al 1er objetivo y hitbox más grande,+60% de dégâts à la 1re cible et hitbox plus grande
SHOP_PERFURACAO_DESC_3,Agora atravessa a cada 2 ataques e +90% de dano no 1º alvo,Now pierces every 2 attacks and +90% damage to the 1st target,Ahora perfora cada 2 ataques y +90% de daño al 1er objetivo,Perfore désormais toutes les 2 attaques et +90% de dégâts à la 1re cible
SHOP_PERFURACAO_DESC_4,Todo ataque atravessa,Every attack pierces,Cada ataque perfora,Chaque attaque perfore
SHOP_ATTACK_SPEED_DESC,+23% de velocidade de ataque,+23% attack speed,+23% de velocidad de ataque,+23% de vitesse d'attaque
SHOP_MULTI_ARROW_DESC_1,"Dispara +2 flechas laterais a cada ataque, causando 30% do dano","Fires +2 side arrows each attack, dealing 30% damage","Dispara +2 flechas laterales en cada ataque, causando 30% del daño","Tire +2 flèches latérales à chaque attaque, infligeant 30% des dégâts"
SHOP_MULTI_ARROW_DESC_2,Flechas laterais passam a causar 65% do dano,Side arrows now deal 65% damage,Las flechas laterales ahora causan 65% del daño,Les flèches latérales infligent désormais 65% des dégâts
SHOP_MULTI_ARROW_DESC_3,Flechas laterais passam a causar 75% do dano,Side arrows now deal 75% damage,Las flechas laterales ahora causan 75% del daño,Les flèches latérales infligent désormais 75% des dégâts
SHOP_MULTI_ARROW_DESC_4,"Aumenta para +4 flechas laterais, causando 85% do dano","Increases to +4 side arrows, dealing 85% damage","Aumenta a +4 flechas laterales, causando 85% del daño","Passe à +4 flèches latérales, infligeant 85% des dégâts"
SHOP_DOUBLE_ARROWS_DESC_1,50% de chance de lançar uma flecha extra que causa 70% do dano,50% chance to fire an extra arrow dealing 70% damage,50% de probabilidad de lanzar una flecha extra que causa 70% del daño,50% de chance de tirer une flèche supplémentaire infligeant 70% des dégâts
SHOP_DOUBLE_ARROWS_DESC_2,60% de chance e ambas com dano total,60% chance and both deal full damage,60% de probabilidad y ambas con daño total,60% de chance et les deux à pleins dégâts
SHOP_DOUBLE_ARROWS_DESC_3,75% de chance de flecha dupla e 45% de chance de flecha tripla,75% chance of a double arrow and 45% chance of a triple arrow,75% de probabilidad de flecha doble y 45% de flecha triple,75% de chance de flèche double et 45% de flèche triple
SHOP_DOUBLE_ARROWS_DESC_4,"90% de chance de dupla, 60% de tripla e 5% de quíntupla","90% double, 60% triple and 5% quintuple chance","90% doble, 60% triple y 5% quíntuple","90% double, 60% triple et 5% quintuple"
SHOP_CHAIN_LIGHTNING_DESC_1,Causa 30% do dano no inimigo mais próximo,Deals 30% damage to the nearest enemy,Causa 30% del daño al enemigo más cercano,Inflige 30% des dégâts à l'ennemi le plus proche
SHOP_CHAIN_LIGHTNING_DESC_2,Causa 50% do dano em 2 a 3 inimigos próximos,Deals 50% damage to 2-3 nearby enemies,Causa 50% del daño a 2-3 enemigos cercanos,Inflige 50% des dégâts à 2-3 ennemis proches
SHOP_CHAIN_LIGHTNING_DESC_3,Causa 60% do dano em 4 inimigos e ganha a skill Q: um raio que causa grande dano em área,Deals 60% damage to 4 enemies and unlocks Q skill: a bolt dealing big area damage,Causa 60% del daño a 4 enemigos y desbloquea la habilidad Q: un rayo que causa gran daño en área,Inflige 60% des dégâts à 4 ennemis et débloque la compétence Q : un éclair infligeant de gros dégâts de zone
SHOP_CHAIN_LIGHTNING_DESC_4,Causa 100% do dano em todos os inimigos próximos e +20% de dano no Q,Deals 100% damage to all nearby enemies and +20% damage on Q,Causa 100% del daño a todos los enemigos cercanos y +20% de daño en la Q,Inflige 100% des dégâts à tous les ennemis proches et +20% de dégâts sur la Q
SHOP_MOVE_SPEED_DESC,+10% de velocidade de movimento,+10% movement speed,+10% de velocidad de movimiento,+10% de vitesse de déplacement
SHOP_GOLD_MAGNET_DESC_1,Inimigos têm +5% de chance de dropar moedas e elas duram 25% mais,Enemies have +5% chance to drop coins and they last 25% longer,Los enemigos tienen +5% de probabilidad de soltar monedas y duran 25% más,Les ennemis ont +5% de chance de lâcher des pièces et elles durent 25% plus longtemps
SHOP_GOLD_MAGNET_DESC_2,As moedas duram 2x mais e +2% de chance de drop,Coins last twice as long and +2% drop chance,Las monedas duran el doble y +2% de probabilidad de drop,Les pièces durent deux fois plus longtemps et +2% de chance de drop
SHOP_GOLD_MAGNET_DESC_3,+2% de chance de drop e pegar moedas gera um pulso de slow,+2% drop chance and picking up coins creates a slow pulse,+2% de probabilidad de drop y recoger monedas genera un pulso de ralentización,+2% de chance de drop et ramasser des pièces crée une impulsion de ralentissement
SHOP_GOLD_MAGNET_DESC_4,Puxa todas as moedas de uma área,Pulls every coin in an area,Atrae todas las monedas de un área,Attire toutes les pièces d'une zone
SHOP_DASH_DESC_1,"Espaço dá um dash rápido que te deixa invulnerável por um instante (CD 6,3s)",Space performs a quick dash that makes you briefly invulnerable (CD 6.3s),"Espacio realiza un dash rápido que te vuelve invulnerable un instante (CD 6,3s)","Espace effectue un dash rapide qui vous rend brièvement invulnérable (CD 6,3s)"
SHOP_DASH_DESC_2,"O dash passa a deixar um rastro de veneno que causa dano (CD 5,3s)",The dash now leaves a poison trail that deals damage (CD 5.3s),"El dash ahora deja una estela de veneno que causa daño (CD 5,3s)","Le dash laisse désormais une traînée de poison qui inflige des dégâts (CD 5,3s)"
SHOP_DASH_DESC_3,"Ao dar dash você dispara um auto-ataque de flechas (CD 4,8s)",On dash you fire an automatic arrow attack (CD 4.8s),"Al hacer dash disparas un autoataque de flechas (CD 4,8s)","En faisant un dash, vous tirez une attaque automatique de flèches (CD 4,8s)"
SHOP_DASH_DESC_4,"O dash dispara um auto-ataque extra (CD 4,3s)",The dash fires an extra auto-attack (CD 4.3s),"El dash dispara un autoataque extra (CD 4,3s)","Le dash déclenche une attaque automatique supplémentaire (CD 4,3s)"
SHOP_ESQUIVANDO_DESC_1,Acertar inimigos te dá velocidade de ataque e de movimento por 2s (máx 3 stacks) e 2% de chance de esquiva,Hitting enemies grants attack and movement speed for 2s (max 3 stacks) and 2% dodge chance,Golpear enemigos te da velocidad de ataque y de movimiento por 2s (máx 3 stacks) y 2% de esquiva,Toucher des ennemis octroie vitesse d'attaque et de déplacement pendant 2s (max 3 cumuls) et 2% d'esquive
SHOP_ESQUIVANDO_DESC_2,"Mais stats por stack, pegar moedas também dá stacks e Espaço: +30% de velocidade por 3s","More stats per stack, picking up coins also grants stacks and Space: +30% speed for 3s","Más stats por stack, recoger monedas también da stacks y Espacio: +30% de velocidad por 3s","Plus de stats par cumul, ramasser des pièces donne aussi des cumuls et Espace : +30% de vitesse pendant 3s"
SHOP_ESQUIVANDO_DESC_3,"Mais stats por stack, mais chance de esquiva e CD da skill reduzido para 12,5s","More stats per stack, higher dodge chance and skill CD reduced to 12.5s","Más stats por stack, más esquiva y CD de la habilidad reducido a 12,5s","Plus de stats par cumul, plus d'esquive et CD de la compétence réduit à 12,5s"
SHOP_ESQUIVANDO_DESC_4,"Mais stats por stack, máximo sobe para 5 stacks e CD da skill reduzido para 10s","More stats per stack, max rises to 5 stacks and skill CD reduced to 10s","Más stats por stack, máximo sube a 5 stacks y CD de la habilidad reducido a 10s","Plus de stats par cumul, max porté à 5 cumuls et CD de la compétence réduit à 10s"
SHOP_FENDA_DESC_1,Teleporta para o ponto do cursor (CD 20s),Teleport to the cursor point (CD 20s),Teletranspórtate al punto del cursor (CD 20s),Téléportez-vous au point du curseur (CD 20s)
SHOP_FENDA_DESC_2,"Cria um corte no caminho percorrido (25 de dano em quem for atingido) e CD reduzido para 18s","Creates a slash along the path traveled (25 damage to enemies hit) and CD reduced to 18s","Crea un corte en el camino recorrido (25 de daño a los enemigos alcanzados) y CD reducido a 18s","Crée une entaille sur le trajet (25 dégâts aux ennemis touchés) et CD réduit à 18s"
SHOP_FENDA_DESC_3,"Após teleportar, 1,3s para usar de novo — o corte rasga em até 3 pontos (acerta o mesmo inimigo várias vezes). CD reduzido para 16s","After teleporting, 1.3s to use again — the slash tears across up to 3 points (hits the same enemy multiple times). CD reduced to 16s","Tras teletransportarte, 1,3s para usar de nuevo — el corte rasga hasta 3 puntos (golpea al mismo enemigo varias veces). CD reducido a 16s","Après téléportation, 1,3s pour réutiliser — l'entaille déchire jusqu'à 3 points (touche le même ennemi plusieurs fois). CD réduit à 16s"
SHOP_FENDA_DESC_4,CD reduzido para 14s e dano aumentado para 50,CD reduced to 14s and damage raised to 50,CD reducido a 14s y daño aumentado a 50,CD réduit à 14s et dégâts portés à 50
SHOP_LIFE_STEAL_DESC_1,Inimigos têm 12% de chance de dropar uma cura de 20% do HP,Enemies have a 12% chance to drop a heal worth 20% HP,Los enemigos tienen 12% de probabilidad de soltar una cura del 20% de HP,Les ennemis ont 12% de chance de lâcher un soin de 20% des PV
SHOP_LIFE_STEAL_DESC_2,+5% de chance de drop e +5% de cura,+5% drop chance and +5% heal,+5% de probabilidad de drop y +5% de cura,+5% de chance de drop et +5% de soin
SHOP_LIFE_STEAL_DESC_3,"+5% de chance de drop, +5% de cura e puxa as curas de uma área","+5% drop chance, +5% heal and pulls heals from an area","+5% de probabilidad de drop, +5% de cura y atrae las curas de un área","+5% de chance de drop, +5% de soin et attire les soins d'une zone"
SHOP_LIFE_STEAL_DESC_4,Puxa todas as curas do mapa,Pulls every heal on the map,Atrae todas las curas del mapa,Attire tous les soins de la carte
SHOP_RICOCHET_DESC_1,"A cada 3 ataques, sua flecha ricocheteia aleatoriamente","Every 3 attacks, your arrow ricochets to a random target","Cada 3 ataques, tu flecha rebota aleatoriamente","Toutes les 3 attaques, votre flèche ricoche aléatoirement"
SHOP_RICOCHET_DESC_2,Agora a cada 2 ataques e se divide em 2 flechas,Now every 2 attacks and splits into 2 arrows,Ahora cada 2 ataques y se divide en 2 flechas,Désormais toutes les 2 attaques et se divise en 2 flèches
SHOP_RICOCHET_DESC_3,Ricocheteia mais uma vez,Ricochets one more time,Rebota una vez más,Ricoche une fois de plus
SHOP_RICOCHET_DESC_4,O segundo ricochete também se divide,The second ricochet also splits,El segundo rebote también se divide,Le second ricochet se divise aussi
SHOP_GRAVITON_DESC_1,A cada 3 ataques cria um campo gravitacional que puxa inimigos e causa 20% de slow,Every 3 attacks creates a gravity field that pulls enemies and applies 20% slow,Cada 3 ataques crea un campo gravitatorio que atrae enemigos y aplica 20% de ralentización,Toutes les 3 attaques crée un champ gravitationnel qui attire les ennemis et applique 20% de ralentissement
SHOP_GRAVITON_DESC_2,"Agora a cada 2 ataques, slow sobe para 30% e dura mais","Now every 2 attacks, slow rises to 30% and lasts longer","Ahora cada 2 ataques, la ralentización sube a 30% y dura más","Désormais toutes les 2 attaques, le ralentissement passe à 30% et dure plus longtemps"
SHOP_GRAVITON_DESC_3,Aumenta a área do campo gravitacional,Increases the gravity field's area,Aumenta el área del campo gravitatorio,Augmente la zone du champ gravitationnel
SHOP_GRAVITON_DESC_4,"Ao acabar, o campo explode causando 20 de dano em área","When it ends, the field explodes dealing 20 area damage","Al terminar, el campo explota causando 20 de daño en área","À la fin, le champ explose en infligeant 20 dégâts de zone"
SHOP_LENO_DESC_1,Leno cospe causando 8 de dano por ataque e slow em área,"Leno spits, dealing 8 damage per attack and an area slow",Leno escupe causando 8 de daño por ataque y ralentización en área,"Leno crache, infligeant 8 dégâts par attaque et un ralentissement de zone"
SHOP_LENO_DESC_2,Dano sobe para 18 e ganha velocidade de ataque,Damage rises to 18 and gains attack speed,El daño sube a 18 y gana velocidad de ataque,Les dégâts passent à 18 et gagne en vitesse d'attaque
SHOP_LENO_DESC_3,+1 cópia do Leno (2 no total),+1 Leno copy (2 total),+1 copia de Leno (2 en total),+1 copie de Leno (2 au total)
SHOP_LENO_DESC_4,+1 cópia do Leno (3 no total),+1 Leno copy (3 total),+1 copia de Leno (3 en total),+1 copie de Leno (3 au total)
SHOP_CAPIVARA_DESC_1,"Ganha a Capivara Joe, um pet que vagueia e a cada 19,5s larga um cogumelo. Pegá-lo cura 29 HP (se você estiver com menos da metade da vida) ou dá um forte impulso de velocidade de movimento por alguns segundos","Gain Capivara Joe, a pet that wanders and drops a mushroom every 19.5s. Picking it up heals 29 HP (if below half health) or gives a strong movement speed boost for a few seconds","Obtienes a Capivara Joe, una mascota que deambula y suelta un hongo cada 19,5s. Recogerlo cura 29 HP (si estás por debajo de la mitad de vida) o da un fuerte impulso de velocidad de movimiento por unos segundos","Obtenez Capivara Joe, un familier qui erre et lâche un champignon toutes les 19,5s. Le ramasser soigne 29 PV (si vous êtes sous la moitié de la vie) ou donne un grand bonus de vitesse de déplacement pendant quelques secondes"
SHOP_CAPIVARA_DESC_2,"Larga cogumelos a cada 10,75s e passa a alternar entre o cogumelo de buff e um cogumelo roxo de dano, que explode quando um inimigo pisa (40 de dano em área por 5s)",Drops mushrooms every 10.75s and alternates between the buff mushroom and a purple damage mushroom that explodes when an enemy steps on it (40 area damage over 5s),"Suelta hongos cada 10,75s y alterna entre el hongo de mejora y un hongo morado de daño que explota cuando un enemigo lo pisa (40 de daño en área durante 5s)","Lâche des champignons toutes les 10,75s et alterne entre le champignon de bonus et un champignon violet de dégâts qui explose quand un ennemi marche dessus (40 dégâts de zone sur 5s)"
SHOP_CAPIVARA_DESC_3,"O cogumelo de buff agora dá cura e velocidade juntos, além de +50% de velocidade de ataque","The buff mushroom now gives heal and speed together, plus +50% attack speed","El hongo de mejora ahora da cura y velocidad juntos, además de +50% de velocidad de ataque","Le champignon de bonus donne désormais soin et vitesse ensemble, plus +50% de vitesse d'attaque"
SHOP_CAPIVARA_DESC_4,Ganha +1 Capivara Joe (2 no total),Gain +1 Capivara Joe (2 total),Obtienes +1 Capivara Joe (2 en total),Obtenez +1 Capivara Joe (2 au total)
SHOP_TING_DESC_1,"Ganha o Mecânico Ting, que a cada 15s constrói uma torreta que atira no inimigo mais próximo (25 de dano, escala com seu Dano) e dura 8s","Gain Ting the Mechanic, who every 15s builds a turret that shoots the nearest enemy (25 damage, scales with your Damage) and lasts 8s","Obtienes a Ting el Mecánico, que cada 15s construye una torreta que dispara al enemigo más cercano (25 de daño, escala con tu Daño) y dura 8s","Obtenez Ting le Mécanicien, qui toutes les 15s construit une tourelle qui tire sur l'ennemi le plus proche (25 dégâts, évolue avec vos Dégâts) et dure 8s"
SHOP_TING_DESC_2,A torreta passa a causar 10% do dano em área e dura 9s,The turret now deals 10% area damage and lasts 9s,La torreta ahora causa 10% de daño en área y dura 9s,La tourelle inflige désormais 10% de dégâts de zone et dure 9s
SHOP_TING_DESC_3,"Constrói torretas a cada 13s e elas atiram mais rápido (a cada 1,7s)",Builds turrets every 13s and they shoot faster (every 1.7s),"Construye torretas cada 13s y disparan más rápido (cada 1,7s)","Construit des tourelles toutes les 13s et elles tirent plus vite (toutes les 1,7s)"
SHOP_TING_DESC_4,Ganha +1 Mecânico Ting (2 no total),Gain +1 Ting the Mechanic (2 total),Obtienes +1 Ting el Mecánico (2 en total),Obtenez +1 Ting le Mécanicien (2 au total)
SHOP_FIRE_ARROW_DESC_1,"Suas flechas queimam inimigos, causando 6 de dano/s por 5s","Your arrows burn enemies, dealing 6 damage/s for 5s","Tus flechas queman a los enemigos, causando 6 de daño/s durante 5s","Vos flèches brûlent les ennemis, infligeant 6 dégâts/s pendant 5s"
SHOP_FIRE_ARROW_DESC_2,Queimadura sobe para 7 de dano/s e você deixa um rastro de fogo ao andar (3 de dano/s),Burn rises to 7 damage/s and you leave a fire trail as you move (3 damage/s),La quemadura sube a 7 de daño/s y dejas una estela de fuego al moverte (3 de daño/s),La brûlure passe à 7 dégâts/s et vous laissez une traînée de feu en vous déplaçant (3 dégâts/s)
SHOP_FIRE_ARROW_DESC_3,Queimadura sobe para 9 de dano/s e ganha a skill Q: uma chama em área que causa 12 de dano/s,Burn rises to 9 damage/s and unlocks Q skill: a flame area dealing 12 damage/s,La quemadura sube a 9 de daño/s y desbloquea la habilidad Q: un área de llamas que causa 12 de daño/s,La brûlure passe à 9 dégâts/s et débloque la compétence Q : une zone de flammes infligeant 12 dégâts/s
SHOP_FIRE_ARROW_DESC_4,"Queimadura sobe para 12 de dano/s, +30% em todo dano de fogo e suas flechas deixam um rastro de fogo (7 de dano/s)","Burn rises to 12 damage/s, +30% to all fire damage and your arrows leave a fire trail (7 damage/s)","La quemadura sube a 12 de daño/s, +30% a todo el daño de fuego y tus flechas dejan una estela de fuego (7 de daño/s)","La brûlure passe à 12 dégâts/s, +30% à tous les dégâts de feu et vos flèches laissent une traînée de feu (7 dégâts/s)"
SHOP_CURSE_ARROW_DESC_1,"Slow de 35% e 3 de dano/s. Ao morrer, a maldição propaga para o alvo mais próximo","35% slow and 3 damage/s. On death, the curse spreads to the nearest target","35% de ralentización y 3 de daño/s. Al morir, la maldición se propaga al objetivo más cercano","35% de ralentissement et 3 dégâts/s. À la mort, la malédiction se propage à la cible la plus proche"
SHOP_CURSE_ARROW_DESC_2,"Slow de 42%, 4 de dano/s e 18% de chance do abate virar aliado","42% slow, 4 damage/s and 18% chance a kill becomes an ally","42% de ralentización, 4 de daño/s y 18% de probabilidad de que un abatido se vuelva aliado","42% de ralentissement, 4 dégâts/s et 18% de chance qu'une élimination devienne un allié"
SHOP_CURSE_ARROW_DESC_3,"Slow de 48%, 6 de dano/s, 33% de chance de virar aliado, aliados aplicam maldição e ela propaga para 2 alvos","48% slow, 6 damage/s, 33% ally chance, allies apply the curse and it spreads to 2 targets","48% de ralentización, 6 de daño/s, 33% de probabilidad de aliado, los aliados aplican la maldición y se propaga a 2 objetivos","48% de ralentissement, 6 dégâts/s, 33% de chance d'allié, les alliés appliquent la malédiction et elle se propage à 2 cibles"
SHOP_CURSE_ARROW_DESC_4,"Slow de 55%, 8 de dano/s, 50% de chance do abate virar aliado e skill Q: um raio púrpura (CD 20s)","55% slow, 8 damage/s, 50% chance a kill becomes an ally and Q skill: a purple beam (CD 20s)","55% de ralentización, 8 de daño/s, 50% de probabilidad de aliado y habilidad Q: un rayo púrpura (CD 20s)","55% de ralentissement, 8 dégâts/s, 50% de chance d'allié et compétence Q : un rayon pourpre (CD 20s)"
SHOP_ICE_ARROW_DESC_1,Suas flechas congelam inimigos por 2s e causam 4 de dano/s enquanto congelados,Your arrows freeze enemies for 2s and deal 4 damage/s while frozen,Tus flechas congelan a los enemigos por 2s y causan 4 de daño/s mientras están congelados,Vos flèches gèlent les ennemis pendant 2s et infligent 4 dégâts/s tant qu'ils sont gelés
SHOP_ICE_ARROW_DESC_2,"Dobra o dano do gelo (8 de dano/s) e cria uma área nevada com slow por 5,5s",Doubles ice damage (8 damage/s) and creates a snowy slow area for 5.5s,"Duplica el daño de hielo (8 de daño/s) y crea un área nevada con ralentización por 5,5s","Double les dégâts de glace (8 dégâts/s) et crée une zone enneigée ralentissante pendant 5,5s"
SHOP_ICE_ARROW_DESC_3,"Ganha a Brisa Gelada aliada, que bombardeia uma área por 15s","Gain the Frost Breeze ally, which bombards an area for 15s","Obtienes la Brisa Helada aliada, que bombardea un área por 15s","Obtenez l'alliée Brise Glaciale, qui bombarde une zone pendant 15s"
SHOP_ICE_ARROW_DESC_4,Skill Q: pausa o tempo por 3s (só você se move) — CD 28s,Q skill: freezes time for 3s (only you move) — CD 28s,Habilidad Q: pausa el tiempo por 3s (solo tú te mueves) — CD 28s,Compétence Q : fige le temps pendant 3s (vous seul bougez) — CD 28s
SHOP_STONE_ARROW_DESC_1,"Suas flechas viram pedras: menor alcance, +40% de dano e atordoamento em área","Your arrows turn to stone: shorter range, +40% damage and area stun","Tus flechas se vuelven piedra: menor alcance, +40% de daño y aturdimiento en área","Vos flèches deviennent des pierres : portée réduite, +40% de dégâts et étourdissement de zone"
SHOP_STONE_ARROW_DESC_2,Aumenta o dano e amplia a área de dano e de atordoamento,Increases damage and widens the damage and stun area,Aumenta el daño y amplía el área de daño y aturdimiento,Augmente les dégâts et élargit la zone de dégâts et d'étourdissement
SHOP_STONE_ARROW_DESC_3,Ganha dois cubos de pedra aliados no início de cada round,Gain two ally stone cubes at the start of each round,Obtienes dos cubos de piedra aliados al inicio de cada ronda,Obtenez deux cubes de pierre alliés au début de chaque manche
SHOP_STONE_ARROW_DESC_4,Skill Q: atordoa todos os inimigos e causa muito dano ao seu redor,Q skill: stuns all enemies and deals heavy damage around you,Habilidad Q: aturde a todos los enemigos y causa mucho daño a tu alrededor,Compétence Q : étourdit tous les ennemis et inflige de lourds dégâts autour de vous
SHOP_CD_MAX,Max (4/4) atingido,Max (4/4) reached,Máx (4/4) alcanzado,Max (4/4) atteint
SHOP_CD_DESC_1,Ganha um aliado tank que atordoa ao golpear e atrai projéteis inimigos,Gain a tank ally that stuns on hit and draws enemy projectiles,Obtienes un aliado tanque que aturde al golpear y atrae los proyectiles enemigos,Obtenez un allié tank qui étourdit en frappant et attire les projectiles ennemis
SHOP_CD_DESC_2,Os ataques do Cláudio passam a te curar +25 HP,Claudio's attacks now heal you +25 HP,Los ataques de Claudio ahora te curan +25 HP,Les attaques de Claudio vous soignent désormais de +25 PV
SHOP_CD_DESC_3,+1 cópia do Cláudio e a cura sobe para +30 HP,+1 Claudio copy and the heal rises to +30 HP,+1 copia de Claudio y la cura sube a +30 HP,+1 copie de Claudio et le soin passe à +30 PV
SHOP_CD_DESC_4,Cláudio ganha +150 HP e mais dano e velocidade de ataque,Claudio gains +150 HP and more damage and attack speed,Claudio gana +150 HP y más daño y velocidad de ataque,Claudio gagne +150 PV et plus de dégâts et de vitesse d'attaque
HUD_FREE_UPGRADE_TITLE,BÔNUS DE BOAS-VINDAS,WELCOME BONUS,BONUS DE BIENVENIDA,BONUS DE BIENVENUE
HUD_FREE_PET_TITLE,ALIADO GRÁTIS!,FREE ALLY!,¡ALIADO GRATIS!,ALLIE GRATUIT !
SHOP_UPG_DAMAGE,Dano,Damage,Daño,Dégâts
SHOP_UPG_ATTACK_SPEED,Velocidade de Ataque,Attack Speed,Velocidad de Ataque,Vitesse d'Attaque
SHOP_UPG_MOVE_SPEED,Velocidade de Movimento,Move Speed,Velocidad de Movimiento,Vitesse de Déplacement
SHOP_UPG_ARMOR,Armadura,Armor,Armadura,Armure
PLAYER_QUEST_GINGERALE,Mate 3000 inimigos no total,Kill 3000 enemies total,Mata 3000 enemigos en total,Tuez 3000 ennemis au total
PLAYER_QUEST_BLUEY,Derrote o boss Mage Monkey (raid 7),Defeat the Mage Monkey boss (raid 7),Derrota al jefe Mago Mono (oleada 7),Vainquez le boss Singe Mage (vague 7)
